hour,simstadt_heating_demand_kwh_h
2503,656.5000000000003
2504,624.4999999999999
2505,617.5999999999997
2506,592.2
2507,526.0
2508,499.49999999999983
2509,493.89999999999975
2510,477.99999999999983
2511,454.40000000000026
2512,434.40000000000015
2513,462.90000000000003
2514,481.5999999999999
2515,509.6999999999998
2516,524.3
2517,510.89999999999986
2518,547.5000000000001
2519,581.4999999999998
2520,613.6999999999997
2521,630.3999999999999
2522,637.9000000000001
2523,671.2000000000004
2524,667.6000000000005
2525,680.6
2526,688.9000000000003
2527,693.1999999999999
2528,681.1999999999999
2529,647.1000000000003
2530,591.2999999999998
2531,582.4999999999998
2532,567.7
2533,539.7000000000002
2534,500.1999999999997
2535,495.89999999999986
2536,514.3999999999999
2537,506.2999999999999
2538,522.8999999999999
2539,550.6000000000003
2540,574.9
2541,590.5999999999998
2542,591.3999999999999
2543,597.8999999999999
2544,623.6999999999997
2545,618.9999999999995
2546,638.4000000000001
2547,644.8000000000002
2548,663.4000000000002
2549,672.3000000000003
2550,659.6000000000003
2551,647.1000000000003
2552,597.2999999999998
2553,522.8999999999999
2554,461.90000000000003
2555,411.39999999999986
2556,368.0999999999999
2557,326.4000000000002
2558,285.70000000000016
2559,256.40000000000003
2560,248.3999999999999
2561,246.49999999999986
2562,259.50000000000006
2563,290.1000000000001
2564,323.70000000000016
2565,351.1999999999998
2566,380.0999999999998
2567,376.39999999999975
2568,400.4
2569,414.5
2570,440.10000000000025
2571,448.00000000000057
2572,467.29999999999995
2573,459.50000000000006
2574,476.8999999999998
2575,477.0999999999998
2576,488.3999999999999
2577,467.8
2578,415.79999999999995
2579,383.0999999999999
2580,312.1
2581,268.7
2582,260.40000000000003
2583,224.3000000000001
2584,212.09999999999997
2585,242.29999999999995
2586,284.00000000000017
2587,339.4000000000001
2588,389.40000000000003
2589,446.10000000000053
2590,478.29999999999984
2591,521.9
2592,550.0000000000002
2593,581.0999999999998
2594,584.4999999999999
2595,576.1999999999999
2596,558.3000000000004
2597,556.2000000000003
2598,539.0000000000001
2599,539.2000000000002
2600,513.6999999999998
2601,491.5999999999998
2602,478.5999999999998
2603,426.70000000000005
2604,429.2000000000001
2605,390.49999999999994
2606,358.1999999999999
2607,347.79999999999995
2608,359.3
2609,348.7
2610,345.5
2611,351.59999999999985
2612,343.1
2613,346.79999999999995
2614,351.59999999999985
2615,359.3
2616,342.4000000000001
2617,347.09999999999997
2618,341.20000000000005
2619,336.30000000000007
2620,352.49999999999983
2621,342.4000000000001
2622,353.4999999999999
2623,365.3
2624,342.90000000000003
2625,319.9000000000001
2626,297.40000000000003
2627,277.10000000000014
2628,229.90000000000015
2629,225.50000000000009
2630,223.60000000000005
2631,222.3
2632,203.89999999999995
2633,202.19999999999993
2634,208.89999999999998
2635,230.6000000000001
2636,259.70000000000005
2637,280.6000000000002
2638,301.2
2639,315.49999999999994
2640,285.70000000000016
2641,294.79999999999995
2642,338.7000000000001
2643,369.6999999999999
